"n","marginal","copula_type","rho","d","mean_mse_our","mean_mse_oracle","sd_mse_our","sd_mse_oracle","gap","marg_copula"
500,"chisq","gumbel",0.5,1,9.17923863852492,8.60354499322117,1.14403418989385,1.18219941287225,0.575693645303749,"chisq_gumbel"
500,"chisq","gumbel",1,1,1.06864495863578,0,0.647486549795473,NA,1.06864495863578,"chisq_gumbel"
500,"gaussian","gaussian",0,1,2.17605228607658,2.11737216505504,0.169722743553411,0.165857562045698,0.0586801210215389,"gaussian_gaussian"
500,"gaussian","gaussian",0.5,1,1.69013185729166,1.60804729425667,0.146651602111055,0.138970769692235,0.082084563034988,"gaussian_gaussian"
500,"gaussian","gaussian",1,1,0.185972170839342,0,0.123652907749915,0,0.185972170839342,"gaussian_gaussian"
500,"gaussian","gumbel",0,1,2.16355850166162,2.10658054964356,0.195302381136851,0.181718057431237,0.0569779520180624,"gaussian_gumbel"
500,"gaussian","gumbel",0.5,1,1.68552697345786,1.55821597149013,0.165772720452646,0.153003769149893,0.127311001967728,"gaussian_gumbel"
500,"gaussian","gumbel",1,1,0.176892408731655,0,0.0909367743357523,NA,0.176892408731655,"gaussian_gumbel"
500,"laplace","gaussian",0,1,4.18333304708867,4.07275224560521,0.53898114621717,0.538623624581731,0.11058080148346,"laplace_gaussian"
500,"laplace","gaussian",0.5,1,3.42647187889469,3.22057400658412,0.353111420761173,0.313765827418687,0.205897872310569,"laplace_gaussian"
500,"laplace","gaussian",1,1,0.563100270926612,0,0.370892136797939,0.514018303836721,0.563100270926612,"laplace_gaussian"
500,"laplace","gumbel",0,1,4.48899090276133,4.3411942457143,0.617175543939858,0.579028499519354,0.147796657047038,"laplace_gumbel"
500,"laplace","gumbel",0.5,1,3.38254037858126,3.07398670292592,0.519867414550891,0.438420839401387,0.308553675655343,"laplace_gumbel"
500,"laplace","gumbel",1,1,0.413624370734944,0,0.24020466958455,NA,0.413624370734944,"laplace_gumbel"
500,"t","gaussian",0,1,8.335591131661,8.1579573290788,15.115242811935,15.1630266284353,0.177633802582193,"t_gaussian"
500,"t","gaussian",0.5,1,4.81006733482388,4.62319635408234,1.07698081392014,1.15918752962704,0.18687098074154,"t_gaussian"
500,"t","gaussian",1,1,0.952407508118485,0,1.14916309906389,0,0.952407508118485,"t_gaussian"
500,"t","gumbel",0,1,7.39585560678448,7.21389697481347,3.75685249850381,3.67801976190223,0.181958631971011,"t_gumbel"
500,"t","gumbel",0.5,1,4.88041461757026,4.33986655376932,1.41277596792977,1.32025247889528,0.540548063800935,"t_gumbel"
500,"t","gumbel",1,1,0.652445511383649,0,0.624551702706739,NA,0.652445511383649,"t_gumbel"
2000,"chisq","gaussian",0,1,12.7268636922129,12.6413946719733,0.77812115168098,0.776169493210776,0.0854690202396675,"chisq_gaussian"
2000,"chisq","gaussian",0.5,1,10.0273434361638,9.82518358479776,0.594579565823174,0.601058288663259,0.20215985136603,"chisq_gaussian"
2000,"chisq","gaussian",1,1,0.311630950662636,0,0.171213377881951,1.91352537718479,0.311630950662636,"chisq_gaussian"
2000,"chisq","gumbel",0,1,12.8202231145849,12.751105729843,0.869222516728638,0.857433865693774,0.0691173847418902,"chisq_gumbel"
2000,"chisq","gumbel",0.5,1,8.66311246103576,8.35200975930307,0.446364384890335,0.415603456544138,0.311102701732688,"chisq_gumbel"
